from_stop_id,to_stop_id,mode,duration,start_time,end_time,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
VIC,LBG,TUBE,1500,05:30:00,24:30:00,2026-01-01,2026-12-31,1,1,1,1,1,1,0
LBG,VIC,TUBE,1500,05:30:00,24:30:00,2026-01-01,2026-12-31,1,1,1,1,1,1,0
VIC,LBG,TUBE,1500,07:00:00,23:30:00,2026-01-01,2026-12-31,0,0,0,0,0,0,1
LBG,VIC,TUBE,1500,07:00:00,23:30:00,2026-01-01,2026-12-31,0,0,0,0,0,0,1
VIC,STP,TUBE,1200,05:30:00,24:30:00,2026-01-01,2026-12-31,1,1,1,1,1,1,0
STP,VIC,TUBE,1200,05:30:00,24:30:00,2026-01-01,2026-12-31,1,1,1,1,1,1,0
VIC,STP,TUBE,1200,07:00:00,23:30:00,2026-01-01,2026-12-31,0,0,0,0,0,0,1
STP,VIC,TUBE,1200,07:00:00,23:30:00,2026-01-01,2026-12-31,0,0,0,0,0,0,1
VIC,EUS,TUBE,900,05:30:00,24:30:00,2026-01-01,2026-12-31,1,1,1,1,1,1,0
EUS,VIC,TUBE,900,05:30:00,24:30:00,2026-01-01,2026-12-31,1,1,1,1,1,1,0
VIC,EUS,TUBE,900,07:00:00,23:30:00,2026-01-01,2026-12-31,0,0,0,0,0,0,1
EUS,VIC,TUBE,900,07:00:00,23:30:00,2026-01-01,2026-12-31,0,0,0,0,0,0,1
LBG,STP,TUBE,900,05:30:00,24:30:00,2026-01-01,2026-12-31,1,1,1,1,1,1,0
STP,LBG,TUBE,900,05:30:00,24:30:00,2026-01-01,2026-12-31,1,1,1,1,1,1,0
LBG,STP,TUBE,900,07:00:00,23:30:00,2026-01-01,2026-12-31,0,0,0,0,0,0,1
STP,LBG,TUBE,900,07:00:00,23:30:00,2026-01-01,2026-12-31,0,0,0,0,0,0,1
LBG,EUS,TUBE,1200,05:30:00,24:30:00,2026-01-01,2026-12-31,1,1,1,1,1,1,0
EUS,LBG,TUBE,1200,05:30:00,24:30:00,2026-01-01,2026-12-31,1,1,1,1,1,1,0
LBG,EUS,TUBE,1200,07:00:00,23:30:00,2026-01-01,2026-12-31,0,0,0,0,0,0,1
EUS,LBG,TUBE,1200,07:00:00,23:30:00,2026-01-01,2026-12-31,0,0,0,0,0,0,1
STP,EUS,WALK,720,00:01:00,23:59:00,2026-01-01,2026-12-31,1,1,1,1,1,1,1
EUS,STP,WALK,720,00:01:00,23:59:00,2026-01-01,2026-12-31,1,1,1,1,1,1,1
PMH,RYP,FERRY,1320,06:00:00,23:00:00,2026-01-01,2026-12-31,1,1,1,1,1,1,0
RYP,PMH,FERRY,1320,06:00:00,23:00:00,2026-01-01,2026-12-31,1,1,1,1,1,1,0
PMH,RYP,FERRY,1320,08:00:00,20:00:00,2026-01-01,2026-12-31,0,0,0,0,0,0,1
RYP,PMH,FERRY,1320,08:00:00,20:00:00,2026-01-01,2026-12-31,0,0,0,0,0,0,1
AFK,ASI,WALK,300,00:01:00,23:59:00,2026-01-01,2026-12-31,1,1,1,1,1,1,1
ASI,AFK,WALK,300,00:01:00,23:59:00,2026-01-01,2026-12-31,1,1,1,1,1,1,1
