trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
1010600,06:00:00,06:00:00,VIC,1,15,0,1,,1
1010600,06:15:00,06:16:00,ECR,2,1,0,0,,1
1010600,06:30:00,06:31:00,GTW,3,3,0,0,,1
1010600,06:43:00,06:44:00,HHE,4,3,0,0,,1
1010600,07:00:00,07:00:00,BTN,5,5,1,0,,1
1010700,07:00:00,07:00:00,VIC,1,15,0,1,,1
1010700,07:15:00,07:16:00,ECR,2,1,0,0,,1
1010700,07:30:00,07:31:00,GTW,3,3,0,0,,1
1010700,07:43:00,07:44:00,HHE,4,3,0,0,,1
1010700,08:00:00,08:00:00,BTN,5,5,1,0,,1
1010800,08:00:00,08:00:00,VIC,1,15,0,1,,1
1010800,08:15:00,08:16:00,ECR,2,1,0,0,,1
1010800,08:30:00,08:31:00,GTW,3,3,0,0,,1
1010800,08:43:00,08:44:00,HHE,4,3,0,0,,1
1010800,09:00:00,09:00:00,BTN,5,5,1,0,,1
1010900,09:00:00,09:00:00,VIC,1,15,0,1,,1
1010900,09:15:00,09:16:00,ECR,2,1,0,0,,1
1010900,09:30:00,09:31:00,GTW,3,3,0,0,,1
1010900,09:43:00,09:44:00,HHE,4,3,0,0,,1
1010900,10:00:00,10:00:00,BTN,5,5,1,0,,1
1011000,10:00:00,10:00:00,VIC,1,15,0,1,,1
1011000,10:15:00,10:16:00,ECR,2,1,0,0,,1
1011000,10:30:00,10:31:00,GTW,3,3,0,0,,1
1011000,10:43:00,10:44:00,HHE,4,3,0,0,,1
1011000,11:00:00,11:00:00,BTN,5,5,1,0,,1
1011100,11:00:00,11:00:00,VIC,1,15,0,1,,1
1011100,11:15:00,11:16:00,ECR,2,1,0,0,,1
1011100,11:30:00,11:31:00,GTW,3,3,0,0,,1
1011100,11:43:00,11:44:00,HHE,4,3,0,0,,1
1011100,12:00:00,12:00:00,BTN,5,5,1,0,,1
1011200,12:00:00,12:00:00,VIC,1,15,0,1,,1
1011200,12:15:00,12:16:00,ECR,2,1,0,0,,1
1011200,12:30:00,12:31:00,GTW,3,3,0,0,,1
1011200,12:43:00,12:44:00,HHE,4,3,0,0,,1
1011200,13:00:00,13:00:00,BTN,5,5,1,0,,1
1011300,13:00:00,13:00:00,VIC,1,15,0,1,,1
1011300,13:15:00,13:16:00,ECR,2,1,0,0,,1
1011300,13:30:00,13:31:00,GTW,3,3,0,0,,1
1011300,13:43:00,13:44:00,HHE,4,3,0,0,,1
1011300,14:00:00,14:00:00,BTN,5,5,1,0,,1
1011400,14:00:00,14:00:00,VIC,1,15,0,1,,1
1011400,14:15:00,14:16:00,ECR,2,1,0,0,,1
1011400,14:30:00,14:31:00,GTW,3,3,0,0,,1
1011400,14:43:00,14:44:00,HHE,4,3,0,0,,1
1011400,15:00:00,15:00:00,BTN,5,5,1,0,,1
1011500,15:00:00,15:00:00,VIC,1,15,0,1,,1
1011500,15:15:00,15:16:00,ECR,2,1,0,0,,1
1011500,15:30:00,15:31:00,GTW,3,3,0,0,,1
1011500,15:43:00,15:44:00,HHE,4,3,0,0,,1
1011500,16:00:00,16:00:00,BTN,5,5,1,0,,1
1011600,16:00:00,16:00:00,VIC,1,15,0,1,,1
1011600,16:15:00,16:16:00,ECR,2,1,0,0,,1
1011600,16:30:00,16:31:00,GTW,3,3,0,0,,1
1011600,16:43:00,16:44:00,HHE,4,3,0,0,,1
1011600,17:00:00,17:00:00,BTN,5,5,1,0,,1
1011700,17:00:00,17:00:00,VIC,1,15,0,1,,1
1011700,17:15:00,17:16:00,ECR,2,1,0,0,,1
1011700,17:30:00,17:31:00,GTW,3,3,0,0,,1
1011700,17:43:00,17:44:00,HHE,4,3,0,0,,1
1011700,18:00:00,18:00:00,BTN,5,5,1,0,,1
1011800,18:00:00,18:00:00,VIC,1,15,0,1,,1
1011800,18:15:00,18:16:00,ECR,2,1,0,0,,1
1011800,18:30:00,18:31:00,GTW,3,3,0,0,,1
1011800,18:43:00,18:44:00,HHE,4,3,0,0,,1
1011800,19:00:00,19:00:00,BTN,5,5,1,0,,1
1011900,19:00:00,19:00:00,VIC,1,15,0,1,,1
1011900,19:15:00,19:16:00,ECR,2,1,0,0,,1
1011900,19:30:00,19:31:00,GTW,3,3,0,0,,1
1011900,19:43:00,19:44:00,HHE,4,3,0,0,,1
1011900,20:00:00,20:00:00,BTN,5,5,1,0,,1
1012000,20:00:00,20:00:00,VIC,1,15,0,1,,1
1012000,20:15:00,20:16:00,ECR,2,1,0,0,,1
1012000,20:30:00,20:31:00,GTW,3,3,0,0,,1
1012000,20:43:00,20:44:00,HHE,4,3,0,0,,1
1012000,21:00:00,21:00:00,BTN,5,5,1,0,,1
1012100,21:00:00,21:00:00,VIC,1,15,0,1,,1
1012100,21:15:00,21:16:00,ECR,2,1,0,0,,1
1012100,21:30:00,21:31:00,GTW,3,3,0,0,,1
1012100,21:43:00,21:44:00,HHE,4,3,0,0,,1
1012100,22:00:00,22:00:00,BTN,5,5,1,0,,1
1012200,22:00:00,22:00:00,VIC,1,15,0,1,,1
1012200,22:15:00,22:16:00,ECR,2,1,0,0,,1
1012200,22:30:00,22:31:00,GTW,3,3,0,0,,1
1012200,22:43:00,22:44:00,HHE,4,3,0,0,,1
1012200,23:00:00,23:00:00,BTN,5,5,1,0,,1
1020600,06:00:00,06:00:00,BTN,1,6,0,1,,1
1020600,06:16:00,06:17:00,HHE,2,2,0,0,,1
1020600,06:29:00,06:30:00,GTW,3,4,0,0,,1
1020600,06:44:00,06:45:00,ECR,4,2,0,0,,1
1020600,07:00:00,07:00:00,VIC,5,16,1,0,,1
1020700,07:00:00,07:00:00,BTN,1,6,0,1,,1
1020700,07:16:00,07:17:00,HHE,2,2,0,0,,1
1020700,07:29:00,07:30:00,GTW,3,4,0,0,,1
1020700,07:44:00,07:45:00,ECR,4,2,0,0,,1
1020700,08:00:00,08:00:00,VIC,5,16,1,0,,1
1020800,08:00:00,08:00:00,BTN,1,6,0,1,,1
1020800,08:16:00,08:17:00,HHE,2,2,0,0,,1
1020800,08:29:00,08:30:00,GTW,3,4,0,0,,1
1020800,08:44:00,08:45:00,ECR,4,2,0,0,,1
1020800,09:00:00,09:00:00,VIC,5,16,1,0,,1
1020900,09:00:00,09:00:00,BTN,1,6,0,1,,1
1020900,09:16:00,09:17:00,HHE,2,2,0,0,,1
1020900,09:29:00,09:30:00,GTW,3,4,0,0,,1
1020900,09:44:00,09:45:00,ECR,4,2,0,0,,1
1020900,10:00:00,10:00:00,VIC,5,16,1,0,,1
1021000,10:00:00,10:00:00,BTN,1,6,0,1,,1
1021000,10:16:00,10:17:00,HHE,2,2,0,0,,1
1021000,10:29:00,10:30:00,GTW,3,4,0,0,,1
1021000,10:44:00,10:45:00,ECR,4,2,0,0,,1
1021000,11:00:00,11:00:00,VIC,5,16,1,0,,1
1021100,11:00:00,11:00:00,BTN,1,6,0,1,,1
1021100,11:16:00,11:17:00,HHE,2,2,0,0,,1
1021100,11:29:00,11:30:00,GTW,3,4,0,0,,1
