from_stop_id,to_stop_id,transfer_type,min_transfer_time
VIC,VIC,2,600
LBG,LBG,2,480
STP,STP,2,600
ZFD,ZFD,2,300
EUS,EUS,2,600
CLJ,CLJ,2,300
ECR,ECR,2,300
RDH,RDH,2,180
GTW,GTW,2,300
TBD,TBD,2,240
HHE,HHE,2,240
BTN,BTN,2,300
HOV,HOV,2,180
PLD,PLD,2,120
WRH,WRH,2,180
CCH,CCH,2,180
HAV,HAV,2,180
FTN,FTN,2,120
PMS,PMS,2,180
PMH,PMH,2,180
RYP,RYP,2,120
RYD,RYD,2,120
SHN,SHN,2,120
LWS,LWS,2,180
EBN,EBN,2,300
BEX,BEX,2,120
HGS,HGS,2,240
ORE,ORE,2,120
RYE,RYE,2,120
APD,APD,2,120
HMT,HMT,2,120
AFK,AFK,2,300
ASI,ASI,2,120
WFJ,WFJ,2,240
MKC,MKC,2,300
